日期,證券代號,證券名稱,外陸資買賣超股數(不含外資自營商),投信買賣超股數,自營商買賣超股數,三大法人買賣超股數
20260102,00878,國泰永續高股息  ,"8,349,228",0,"52,891,230","61,240,458"
20260102,00919,群益台灣精選高息,"22,600,285",0,"6,686,398","29,286,683"
20260102,00940,元大台灣價值高息,"222,105",0,"27,022,394","27,244,499"
20260102,00665L,富邦恒生國企正2 ,"2,778,000",0,"22,803,196","25,581,196"
20260102,00900,富邦特選高股息30,"6,592,070","200,000","17,527,284","24,319,354"
20260102,0056,元大高股息      ,"7,315,370",0,"12,810,188","20,125,558"
20260102,00753L,中信中國50正2   ,"8,665,000",0,"10,472,297","19,137,297"
20260102,00929,復華台灣科技優息,"854,000",0,"17,723,389","18,577,389"
20260102,00939,統一台灣高息動能,"3,296,000",0,"14,578,645","17,874,645"
20260102,00922,國泰台灣領袖50  ,"11,101,300",0,"3,495,670","14,596,970"
20260102,00637L,元大滬深300正2  ,"11,116,000",0,"2,813,255","13,929,255"
20260102,00918,大華優利高填息30,"4,629,000",0,"8,954,095","13,583,095"
20260102,00988A,主動統一全球創新,"3,909,000",0,"6,282,000","10,191,000"
20260102,00713,元大台灣高息低波,"2,881,892","-70,000","5,792,484","8,604,376"
20260102,00650L,復華香港正2     ,"142,000",0,"5,406,606","5,548,606"
20260102,006208,富邦台50        ,"-36,600",0,"5,536,806","5,500,206"
20260102,00664R,國泰臺灣加權反1 ,0,0,"5,295,197","5,295,197"
20260102,00936,台新永續高息中小,"816,000",0,"4,126,707","4,942,707"
20260102,00671R,富邦NASDAQ反1   ,0,0,"4,689,000","4,689,000"
20260102,00757,統一FANG+       ,"2,380,435","-300,000","2,157,963","4,238,398"
20260102,00961,FT臺灣永續高息  ,"290,000",0,"3,735,322","4,025,322"
20260102,00896,中信綠能及電動車,"855,000",0,"3,041,371","3,896,371"
20260102,00701,國泰股利精選30  ,"137,000",0,"3,647,772","3,784,772"
20260102,00733,富邦臺灣中小    ,"1,063,050",0,"2,400,732","3,463,782"
20260102,009802,富邦旗艦50      ,"136,000",0,"3,247,616","3,383,616"
20260102,00752,中信中國50      ,"1,571,946",0,"1,503,555","3,075,501"
20260102,00712,復華富時不動產  ,"4,943,000",0,"-1,961,000","2,982,000"
20260102,00945B,凱基美國非投等債,"2,079,000",0,"772,117","2,851,117"
20260102,00673R,期元大S&P原油反1,"2,000",0,"2,486,604","2,488,604"
20260102,00982A,主動群益台灣強棒,"94,500",0,"2,370,283","2,464,783"
20260102,00663L,國泰臺灣加權正2 ,"244,000",0,"1,905,807","2,149,807"
20260102,00985A,主動野村台灣50  ,"237,120",0,"1,889,493","2,126,613"
20260102,00885,富邦越南        ,"2,284,000",0,"-183,000","2,101,000"
20260102,00675L,富邦臺灣加權正2 ,"11,148",0,"1,816,713","1,827,861"
20260102,00934,中信成長高股息  ,"337,000",0,"1,415,175","1,752,175"
20260102,00669R,國泰美國道瓊反1 ,0,0,"1,672,839","1,672,839"
20260102,00952,凱基台灣AI50    ,"136,000",0,"1,502,943","1,638,943"
20260102,00965,元大航太防衛科技,"2,162,080","-450,000","-75,761","1,636,319"
20260102,00915,凱基優選高股息30,"-54,985",0,"1,643,998","1,589,013"
20260102,00932,兆豐永續高息等權,"6,000",0,"1,550,815","1,556,815"
20260102,009811,統一美國50      ,"780,810",0,"675,088","1,455,898"
20260102,00631L,元大台灣50正2   ,"528,935",0,"829,438","1,358,373"
20260102,00941,中信上游半導體  ,"1,013,015",0,"318,186","1,331,201"
20260102,00680L,元大美債20正2   ,"-263,000",0,"1,506,206","1,243,206"
20260102,00930,永豐ESG低碳高息 ,"23,000",0,"1,215,985","1,238,985"
20260102,00633L,富邦上証正2     ,"337,000",0,"898,274","1,235,274"
20260102,00882,中信中國高股息  ,"159,218",0,"1,065,045","1,224,263"
20260102,00648R,元大S&P500反1   ,0,0,"1,212,000","1,212,000"
20260102,00985B,群益ESG投等債0-5,"432,000",0,"686,817","1,118,817"
20260102,00692,富邦公司治理    ,"4,000",0,"1,107,606","1,111,606"
20260102,00892,富邦台灣半導體  ,"34,000",0,"962,913","996,913"
20260102,00655L,國泰中國A50正2  ,"164,000",0,"776,361","940,361"
20260102,00944,野村趨勢動能高息,"7,000",0,"831,496","838,496"
20260102,00923,群益台ESG低碳50 ,"240,000",0,"577,798","817,798"
20260102,009813,貝萊德標普卓越50,"1,011,200",0,"-225,375","785,825"
20260102,009809,富邦淨零ESG50   ,"-22,000",0,"737,524","715,524"
20260102,00850,元大臺灣ESG永續 ,"190,999",0,"497,280","688,279"
20260102,00905,FT臺灣Smart     ,"-217,000",0,"903,439","686,439"
20260102,00971,野村美國研發龍頭,"222,000",0,"452,266","674,266"
20260102,00688L,國泰20年美債正2 ,"300,000",0,"358,099","658,099"
20260102,009808,華南永昌優選50  ,"11,000",0,"630,969","641,969"
20260102,009803,玉山市值動能50  ,"-75,000",0,"715,560","640,560"
20260102,00901,永豐智能車供應鏈,"231,000",0,"384,658","615,658"
20260102,00986A,主動台新龍頭成長,"816,000",0,"-270,396","545,604"
20260102,00982T,平衡兆豐台美動能,"5,000",0,"523,951","528,951"
20260102,00700,富邦恒生國企    ,"91,000",0,"393,385","484,385"
20260102,00981T,平衡凱基雙核收息,"114,000",0,"361,971","475,971"
20260102,00907,永豐優息存股    ,"5,000",0,"441,301","446,301"
20260102,009801,中信美國創新科技,"22,000",0,"419,146","441,146"
20260102,006205,富邦上証        ,"355,000",0,"67,868","422,868"
20260102,009805,新光美國電力基建,"45,000",0,"376,049","421,049"
20260102,00639,富邦深100       ,"9,000",0,"363,273","372,273"
20260102,00960,野村全球航運龍頭,"7,000",0,"361,000","368,000"
20260102,00636,國泰中國A50     ,"30,000",0,"335,011","365,011"
20260102,00951,台新日本半導體  ,"381,000",0,"-23,991","357,009"
20260102,00989A,主動摩根美國科技,"580,000",0,"-244,000","336,000"
20260102,00893,國泰智能電動車  ,"641,013",0,"-307,782","333,231"
20260102,00962,台新AI優息動能  ,"1,000",0,"325,875","326,875"
20260102,0061,元大寶滬深      ,"440,000",0,"-115,714","324,286"
20260102,00897,富邦基因免疫生技,"1,000",0,"285,591","286,591"
20260102,00903,富邦元宇宙      ,"460,000",0,"-176,797","283,203"
20260102,00685L,群益臺灣加權正2 ,"1,000",0,"278,269","279,269"
20260102,00921,兆豐龍頭等權重  ,"-1,000",0,"267,088","266,088"
20260102,00949,復華日本龍頭    ,"205,000",0,"28,130","233,130"
20260102,00690,兆豐藍籌30      ,"21,000",0,"209,919","230,919"
20260102,00652,富邦印度        ,"1,127",0,"222,178","223,305"
20260102,00916,國泰全球品牌50  ,"-2,000",0,"169,254","167,254"
20260102,009804,聯邦台精彩50    ,"37,000",0,"123,373","160,373"
20260102,00912,中信臺灣智慧50  ,"8,000",0,"144,502","152,502"
20260102,00895,富邦未來車      ,"519,000",0,"-374,284","144,716"
20260102,006206,元大上證50      ,"77,000",0,"51,203","128,203"
20260102,00731,復華富時高息低波,"-7,000",0,"134,474","127,474"
20260102,00640L,富邦日本正2     ,"-18,000",0,"138,443","120,443"
20260102,00954,中信日本半導體  ,"11,000",0,"105,584","116,584"
20260102,00926,凱基全球菁英55  ,-500,0,"114,127","113,627"
20260102,00938,凱基優選30      ,"6,000",0,"104,123","110,123"
20260102,00762,元大全球AI      ,"78,950",0,"27,386","106,336"
20260102,00964,中信亞太高股息  ,"-393,000",0,"497,988","104,988"
20260102,00653L,富邦印度正2     ,"2,000",0,"97,733","99,733"
20260102,00783,富邦中証500     ,"51,000",0,"44,620","95,620"
20260102,00861,元大全球未來通訊,"41,000",0,"50,548","91,548"
20260102,00972,野村日本動能高息,"373,000",0,"-287,241","85,759"
20260102,00982D,主動富邦動態入息,"-928,000",0,"1,000,000","72,000"
20260102,00638R,元大滬深300反1  ,0,0,"71,000","71,000"
20260102,00943,兆豐電子高息等權,0,0,"65,993","65,993"
20260102,00728,第一金工業30    ,"-1,000",0,"62,434","61,434"
20260102,0051,元大中型100     ,0,0,"61,186","61,186"
20260102,00710B,復華彭博非投等債,"85,000",0,"-24,755","60,245"
20260102,00703,台新MSCI中國    ,"1,000",0,"57,904","58,904"
20260102,00739,元大MSCI A股    ,"44,000",0,"14,655","58,655"
20260102,00737,國泰AI機器人    ,"58,000",0,-950,"57,050"
20260102,00898,國泰基因免疫革命,"19,000",0,"37,000","56,000"
20260102,00920,富邦ESG綠色電力 ,"144,201",0,"-103,994","40,207"
20260102,00717,富邦美國特別股  ,"133,000",0,"-96,000","37,000"
20260102,00661,元大日經225     ,"-1,000",0,"37,615","36,615"
20260102,00660,元大歐洲50      ,0,0,"36,000","36,000"
20260102,00876,元大全球5G      ,"45,000",0,"-9,450","35,550"
20260102,00899,FT潔淨能源      ,149,0,"28,766","28,915"
20260102,00654R,富邦印度反1     ,0,0,"28,510","28,510"
20260102,00983D,主動富邦複合收益,"-7,000",0,"34,535","27,535"
20260102,00678,群益那斯達克生技,"-99,986",0,"126,377","26,391"
20260102,00771,元大US高息特別股,0,0,"25,000","25,000"
20260102,00642U,期元大S&P石油   ,"18,000",0,"4,225","22,225"
20260102,00714,群益道瓊美國地產,0,0,"15,821","15,821"
20260102,00684R,期元大美元指反1 ,0,0,"15,000","15,000"
20260102,006207,復華滬深        ,"88,000",0,"-81,191","6,809"
20260102,00935,野村臺灣新科技50,"-207,704",0,"213,011","5,307"
20260102,0053,元大電子        ,0,0,"4,493","4,493"
20260102,00851,台新全球AI      ,"1,000",0,"3,000","4,000"
20260102,006204,永豐臺灣加權    ,"1,000",0,998,"1,998"
20260102,00875,國泰網路資安    ,"-2,000",0,"2,521",521
20260102,00636K,國泰中國A50+U   ,0,0,0,0
20260102,00668K,國泰美國道瓊+U  ,0,0,0,0
20260102,00689R,國泰20年美債反1 ,0,0,0,0
20260102,00657K,國泰日經225+U   ,0,0,0,0
20260102,0057,富邦摩台        ,0,0,"-1,000","-1,000"
20260102,00775B,新光投等債15+   ,0,0,"-1,202","-1,202"
20260102,00668,國泰美國道瓊    ,"-2,000",0,-342,"-2,342"
20260102,00736,國泰新興市場    ,0,0,"-4,000","-4,000"
20260102,00913,兆豐台灣晶圓製造,"6,000",0,"-10,083","-4,083"
20260102,00656R,國泰中國A50反1  ,0,0,"-7,000","-7,000"
20260102,00702,國泰標普低波高息,"-19,000",0,"11,000","-8,000"
20260102,00681R,元大美債20反1   ,"55,000",0,"-66,200","-11,200"
20260102,00956,中信日經高股息  ,"110,000",0,"-121,402","-11,402"
20260102,0055,元大MSCI金融    ,"-16,000",0,657,"-15,343"
20260102,00706L,期元大S&P日圓正2,"1,000",0,"-18,297","-17,297"
20260102,00683L,期元大美元指正2 ,0,0,"-20,000","-20,000"
20260102,00852L,國泰美國道瓊正2 ,0,0,"-20,204","-20,204"
20260102,00643,群益深証中小    ,"93,000",0,"-123,184","-30,184"
20260102,00911,兆豐洲際半導體  ,"-1,900",0,"-31,505","-33,405"
20260102,00711B,復華彭博新興債  ,"-64,000",0,"20,000","-44,000"
20260102,00908,富邦入息REITs+  ,"-4,000",0,"-47,099","-51,099"
20260102,00770,國泰北美科技    ,"-26,996",0,"-29,326","-56,322"
20260102,009810,玉山全球藍籌100 ,"-1,000",0,"-70,646","-71,646"
20260102,00647L,元大S&P500正2   ,0,0,"-72,876","-72,876"
20260102,00641R,富邦日本反1     ,0,0,"-77,001","-77,001"
20260102,00645,富邦日本        ,"-1,000",0,"-82,180","-83,180"
20260102,00709,富邦歐洲        ,"-2,000",0,"-84,000","-86,000"
20260102,00730,富邦臺灣優質高息,"-4,960",0,"-87,350","-92,310"
20260102,00634R,富邦上証反1     ,0,0,"-94,000","-94,000"
20260102,00674R,期元大S&P黃金反1,0,0,"-97,527","-97,527"
20260102,00891,中信關鍵半導體  ,"137,026",0,"-247,395","-110,369"
20260102,00763U,期街口道瓊銅    ,"38,000",0,"-153,819","-115,819"
20260102,00657,國泰日經225     ,"-1,000",0,"-121,924","-122,924"
